case_id,num_group1,num_group2,pmts_date_1107D,pmts_dpdvalue_108P,pmts_pmtsoverdue_635A
467,0,0,2018-11-15,,
467,0,1,2018-12-15,,
467,1,0,2018-12-15,,
467,2,0,2016-10-15,0.0,0.0
467,2,1,2016-11-15,0.0,0.0
467,2,2,2016-12-15,0.0,0.0
467,2,3,2017-01-15,0.0,0.0
467,2,4,2017-02-15,0.0,0.0
467,2,5,2017-03-15,0.0,0.0
467,2,6,2017-04-15,0.0,0.0
467,2,7,2017-05-15,0.0,0.0
467,2,8,2017-06-15,0.0,0.0
467,2,9,2017-07-15,0.0,0.0
467,2,10,2017-08-15,0.0,0.0
467,2,11,2017-09-15,0.0,0.0
467,2,12,2017-10-15,0.0,0.0
467,2,13,2017-11-15,0.0,0.0
467,2,14,2017-12-15,0.0,0.0
467,2,15,2018-01-15,0.0,0.0
467,2,16,2018-02-15,0.0,0.0
467,2,17,2018-03-15,0.0,0.0
467,2,18,2018-04-15,0.0,0.0
467,2,19,2018-05-15,0.0,0.0
467,2,20,2018-06-15,0.0,0.0
467,2,21,2018-07-15,0.0,0.0
467,2,22,2018-08-15,0.0,0.0
467,2,23,2018-09-15,0.0,0.0
467,2,24,2018-10-15,0.0,0.0
467,2,25,2018-11-15,0.0,0.0
467,2,26,2018-12-15,0.0,0.0
1445,0,0,2016-01-15,0.0,0.0
1445,0,1,2016-02-15,0.0,0.0
1445,0,2,2016-03-15,9517.0,0.4
1445,0,3,2016-04-15,0.0,0.0
1445,0,4,2016-05-15,0.0,0.0
1445,0,5,2016-06-15,0.0,0.0
1445,0,6,2016-07-15,0.0,0.0
1445,0,7,2016-08-15,0.0,0.0
1445,0,8,2016-09-15,0.0,0.0
1445,0,9,2016-10-15,0.0,0.0
1445,0,10,2016-11-15,0.0,0.0
1445,0,11,2016-12-15,0.0,0.0
1445,0,12,2017-01-15,0.0,0.0
1445,0,13,2017-02-15,0.0,0.0
1445,0,14,2017-03-15,0.0,0.0
1445,0,15,2017-04-15,0.0,0.0
1445,0,16,2017-05-15,0.0,0.0
1445,0,17,2017-06-15,0.0,0.0
1445,0,18,2017-07-15,0.0,0.0
1445,0,19,2017-08-15,0.0,0.0
1445,0,20,2017-09-15,0.0,0.0
1445,0,21,2017-10-15,0.0,0.0
1445,0,22,2017-11-15,0.0,0.0
1445,0,23,2017-12-15,200418.0,0.4
1445,0,24,2018-01-15,10262.0,1.4
1445,0,25,2018-02-15,0.0,0.0
1445,0,26,2018-03-15,10531.0,0.2
1445,0,27,2018-04-15,0.0,0.0
1445,0,28,2018-05-15,0.0,0.0
1445,0,29,2018-06-15,0.0,0.0
1445,0,30,2018-07-15,0.0,0.0
1445,0,31,2018-08-15,0.0,0.0
1445,0,32,2018-09-15,0.0,0.0
1445,0,33,2018-10-15,0.0,0.0
1445,0,34,2018-11-15,0.0,0.0
1445,0,35,2018-12-15,0.0,0.0
1445,1,0,2018-11-15,,
1445,1,1,2018-12-15,,
1445,2,0,2018-12-15,0.0,0.0
1445,2,1,2019-01-15,0.0,0.0
1445,3,0,2018-07-15,0.0,0.0
1445,3,1,2018-08-15,0.0,0.0
1445,3,2,2018-09-15,0.0,0.0
1445,3,3,2018-10-15,0.0,0.0
1445,3,4,2018-11-15,0.0,0.0
1445,3,5,2018-12-15,0.0,0.0
1445,3,6,2019-01-15,0.0,0.0
1445,4,0,2016-01-15,0.0,0.0
1445,4,1,2016-02-15,21968.0,1.6
1445,4,2,2016-03-15,22144.0,1.8000001
1445,4,3,2016-04-15,24473.0,2.2
1445,4,4,2016-05-15,24491.0,3.6000001
1445,4,5,2016-06-15,22715.0,1.2
1445,4,6,2016-07-15,21460.0,2.2
1445,4,7,2016-08-15,25412.0,2.0
1445,4,8,2016-09-15,24779.0,2.4
1445,4,9,2016-10-15,24180.0,1.6
1445,4,10,2016-11-15,22960.0,1.4
1445,4,11,2016-12-15,22498.0,2.4
1445,4,12,2017-01-15,20974.0,3.0
1445,4,13,2017-02-15,20339.0,2.6000001
1445,4,14,2017-03-15,24198.0,2.6000001
1445,4,15,2017-04-15,24225.0,4.0
1445,4,16,2017-05-15,49765.0,7.2000003
1445,4,17,2017-06-15,23585.0,1.0
1445,4,18,2017-07-15,0.0,0.0
1445,4,19,2017-08-15,0.0,0.0
1445,4,20,2017-09-15,0.0,0.0
1445,4,21,2017-10-15,0.0,0.0
1445,4,22,2017-11-15,13045.0,1.2
1445,4,23,2017-12-15,0.0,0.0
1445,4,24,2018-01-15,21339.0,3.0
1445,4,25,2018-02-15,20185.0,2.4
1445,4,26,2018-03-15,17654.0,2.4
1445,4,27,2018-04-15,17671.0,3.8
1445,4,28,2018-05-15,0.0,0.0
