case_id,assignmentdate_238D,assignmentdate_4527235D,assignmentdate_4955616D,birthdate_574D,contractssum_5085716L,dateofbirth_337D,dateofbirth_342D,days120_123L,days180_256L,days30_165L,days360_512L,days90_310L,description_5085714M,education_1103M,education_88M,firstquarter_103L,for3years_128L,for3years_504L,for3years_584L,formonth_118L,formonth_206L,formonth_535L,forquarter_1017L,forquarter_462L,forquarter_634L,fortoday_1092L,forweek_1077L,forweek_528L,forweek_601L,foryear_618L,foryear_818L,foryear_850L,fourthquarter_440L,maritalst_385M,maritalst_893M,numberofqueries_373L,pmtaverage_3A,pmtaverage_4527227A,pmtaverage_4955615A,pmtcount_4527229L,pmtcount_4955617L,pmtcount_693L,pmtscount_423L,pmtssum_45A,requesttype_4525192L,responsedate_1012D,responsedate_4527233D,responsedate_4917613D,riskassesment_302T,riskassesment_940T,secondquarter_766L,thirdquarter_1082L
357,,,,1988-04-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,6.0,6301.4,,2019-01-25,,,,,,
381,,,,1973-11-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,6.0,4019.6,,2019-01-25,,,,,,
388,,,,1989-04-01,,1989-04-01,,6.0,8.0,2.0,10.0,4.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,6.0,a55475b1,a55475b1,10.0,,,,,,,6.0,14548.0,,2019-01-28,,,,,3.0,5.0
405,,,,1974-03-01,,1974-03-01,,0.0,0.0,0.0,1.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,4.0,a55475b1,a55475b1,1.0,,,,,,,6.0,10498.24,,2019-01-21,,,,,2.0,0.0
409,,,,1993-06-01,,1993-06-01,,2.0,3.0,0.0,3.0,1.0,a55475b1,717ddd49,a55475b1,4.0,,,,,,,,,,,,,,,,,1.0,a7fcb6e5,a55475b1,3.0,,,,,,,7.0,6344.8804,,2019-01-21,,,,,0.0,4.0
410,,,,1978-06-01,,1978-06-01,,2.0,2.0,2.0,3.0,2.0,a55475b1,6b2ae0fa,a55475b1,2.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,3.0,,,,,,,12.0,7200.0,,2019-01-22,,,,,3.0,6.0
411,2017-07-06,,,1959-07-01,,1959-07-01,,9.0,9.0,4.0,20.0,7.0,a55475b1,a55475b1,a55475b1,6.0,,,,,,,,,,,,,,,,,20.0,a55475b1,a55475b1,20.0,5413.3335,,,,,5.0,,,,2019-01-22,,,,,9.0,2.0
412,,,,1969-01-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,7.0,6284.0,,2019-01-22,,,,,,
413,2013-12-25,,,1955-12-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6828.3667,,,,,6.0,,,,2019-01-22,,,,,,
414,2014-07-30,,,1961-06-01,,1961-06-01,,2.0,3.0,2.0,5.0,2.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,2.0,3439d993,a55475b1,5.0,5604.8667,,,,,6.0,,,,2019-01-22,,,,,2.0,1.0
